colony,location,day,minute,count
c392,water,1,5,6
c392,water,2,1,2
c392,water,2,2,2
c392,water,2,3,0
c392,water,2,4,0
c392,water,2,5,1
c392,water,3,1,6
c392,water,3,2,6
c392,water,3,3,0
c392,water,3,4,0
c392,water,3,5,1
c392,water,4,1,1
c392,water,4,2,1
c392,water,4,3,2
c392,water,4,4,2
c392,water,4,5,0
c392,water,5,1,0
c392,water,5,2,0
c392,water,5,3,1
c392,water,5,4,2
c392,water,5,5,2
c392,water,6,1,0
c392,water,6,2,1
c392,water,6,3,0
c392,water,6,4,2
c392,water,6,5,0
c392,water,7,1,3
c392,water,7,2,4
c392,water,7,3,3
c392,water,7,4,1
c392,water,7,5,1
c392,sugarWater,0,1,2
c392,sugarWater,0,2,2
c392,sugarWater,0,3,1
c392,sugarWater,0,4,2
c392,sugarWater,0,5,1
c392,sugarWater,1,1,0
c392,sugarWater,1,2,0
c392,sugarWater,1,3,0
c392,sugarWater,1,4,0
c392,sugarWater,1,5,1
c392,sugarWater,2,1,0
c392,sugarWater,2,2,1
c392,sugarWater,2,3,2
c392,sugarWater,2,4,1
c392,sugarWater,2,5,1
c392,sugarWater,3,1,0
c392,sugarWater,3,2,1
c392,sugarWater,3,3,0
c392,sugarWater,3,4,1
c392,sugarWater,3,5,1
c392,sugarWater,4,1,0
c392,sugarWater,4,2,0
c392,sugarWater,4,3,1
c392,sugarWater,4,4,2
c392,sugarWater,4,5,0
c392,sugarWater,5,1,0
c392,sugarWater,5,2,0
c392,sugarWater,5,3,0
c392,sugarWater,5,4,0
c392,sugarWater,5,5,0
c392,sugarWater,6,1,1
c392,sugarWater,6,2,1
c392,sugarWater,6,3,0
c392,sugarWater,6,4,0
c392,sugarWater,6,5,2
c392,sugarWater,7,1,2
c392,sugarWater,7,2,3
c392,sugarWater,7,3,5
c392,sugarWater,7,4,8
c392,sugarWater,7,5,10
c392,napkinSlide,0,1,1
c392,napkinSlide,0,2,1
c392,napkinSlide,0,3,2
c392,napkinSlide,0,4,4
c392,napkinSlide,0,5,1
c392,napkinSlide,1,1,0
c392,napkinSlide,1,2,0
c392,napkinSlide,1,3,1
c392,napkinSlide,1,4,0
c392,napkinSlide,1,5,1
c392,napkinSlide,2,1,1
c392,napkinSlide,2,2,0
c392,napkinSlide,2,3,0
c392,napkinSlide,2,4,1
c392,napkinSlide,2,5,0
c392,napkinSlide,3,1,0
c392,napkinSlide,3,2,3
c392,napkinSlide,3,3,0
c392,napkinSlide,3,4,1
c392,napkinSlide,3,5,0
c392,napkinSlide,4,1,0
c392,napkinSlide,4,2,2
c392,napkinSlide,4,3,0
c392,napkinSlide,4,4,2
c392,napkinSlide,4,5,2
c392,napkinSlide,5,1,1
c392,napkinSlide,5,2,3
c392,napkinSlide,5,3,0
c392,napkinSlide,5,4,0
c392,napkinSlide,5,5,0
c392,napkinSlide,6,1,1
c392,napkinSlide,6,2,2
c392,napkinSlide,6,3,0
c392,napkinSlide,6,4,1
c392,napkinSlide,6,5,1
c392,napkinSlide,7,1,4
c392,napkinSlide,7,2,1
c392,napkinSlide,7,3,2
c392,napkinSlide,7,4,3
c392,napkinSlide,7,5,1
c392,pollenCricket,0,1,0
c392,pollenCricket,0,2,1
c392,pollenCricket,0,3,1
c392,pollenCricket,0,4,3
c392,pollenCricket,0,5,0
c392,pollenCricket,1,1,0
c392,pollenCricket,1,2,0
c392,pollenCricket,1,3,1
c392,pollenCricket,1,4,0
c392,pollenCricket,1,5,0
c392,pollenCricket,2,1,0
c392,pollenCricket,2,2,0
c392,pollenCricket,2,3,0
c392,pollenCricket,2,4,0
c392,pollenCricket,2,5,0
c392,pollenCricket,3,1,0
c392,pollenCricket,3,2,0
c392,pollenCricket,3,3,0
c392,pollenCricket,3,4,0
c392,pollenCricket,3,5,0
c392,pollenCricket,4,1,1
c392,pollenCricket,4,2,1
c392,pollenCricket,4,3,1
c392,pollenCricket,4,4,1
c392,pollenCricket,4,5,0
c392,pollenCricket,5,1,0
c392,pollenCricket,5,2,0
c392,pollenCricket,5,3,0
c392,pollenCricket,5,4,1
c392,pollenCricket,5,5,0
c392,pollenCricket,6,1,0
c392,pollenCricket,6,2,0
c392,pollenCricket,6,3,1
c392,pollenCricket,6,4,0
c392,pollenCricket,6,5,0
c392,pollenCricket,7,1,1
c392,pollenCricket,7,2,0
c392,pollenCricket,7,3,0
c392,pollenCricket,7,4,1
c392,pollenCricket,7,5,0
c392,other,0,1,7
c392,other,0,2,11
c392,other,0,3,10
c392,other,0,4,10
c392,other,0,5,14
c392,other,1,1,12
c392,other,1,2,13
c392,other,1,3,14
c392,other,1,4,10
c392,other,1,5,11
c392,other,2,1,NA
c392,other,2,2,NA
c392,other,2,3,NA
c392,other,2,4,NA
c392,other,2,5,NA
c392,other,3,1,11
